Phrase_ID	YUA	ES	Communicative_Context
YUAES0000042	Leti'e' ma' táan u bin koonol tu k'íiwikil koonoli'	Ella no está yendo a vender al mercado	COMMC0001
YUAES0000043	Ma' táan u bino'ob koonol tu k'íiwikil koonoli'	Ellos no están yendo a vender al mercado	COMMC0001
YUAES0000044	Ma' táan u bino'ob koonol tu k'íiwikil koonoli'	Ellas no están yendo a vender al mercado	COMMC0001
YUAES0000045	Ma' táan a bine'ex koonol tu k'íiwikil koonoli'	Ustedes no están yendo a vender al mercado	COMMC0001
YUAES0000046	Ma' táan k bin koonol tu k'íiwikil koonoli'	No estamos yendo a vender al mercado	COMMC0001
YUAES0000047	Táan wáaj a bin koonol tu k'íiwikil koonol	¿Estás yendo a vender al mercado?	COMMC0001
YUAES0000048	Táan wáaj u bin koonol tu k'íiwikil koonol	¿Él está yendo a vender al mercado?	COMMC0001
YUAES0000049	Táan wáaj u bin koonol tu k'íiwikil koonol	¿Ella está yendo a vender al mercado?	COMMC0001
YUAES0000050	Táan wáaj u bino'ob koonol tu k'íiwikil koonol	¿Ellos están yendo a vender al mercado?	COMMC0001
YUAES0000051	Táan wáaj u bino'ob koonol tu k'íiwikil koonol	¿Ellas están yendo a vender al mercado?	COMMC0001
YUAES0000052	Táan wáaj a bine'ex koonol tu k'íiwikil koonol	¿Ustedes están yendo a vender al mercado?	COMMC0001
YUAES0000053	Táan wáaj k bin koonol tu k'íiwikil koonol	¿Estamos yendo a vender al mercado?	COMMC0001
YUAES0000054	Bix ka bin koonol tu k'íiwikil koonol	¿Cómo vas a vender al mercado?	COMMC0001
YUAES0000055	Sáansamal wáaj ka bin koonol tu k'íiwikil koonol	¿Todos los días vas a vender al mercado?	COMMC0001
YUAES0000056	Máax yéetel ka bin koonol tu k'íiwikil koonol	¿Con quién vas a vender al mercado?	COMMC0001
YUAES0000057	Sáansamal kin bin koonol tu k'íiwikil koonol	Todos los días voy a vender al mercado	COMMC0001
YUAES0000058	Sáansamal ku bino'ob koonol tu k'íiwikil koonol	Todos los días ellos van a vender al mercado	COMMC0001
YUAES0000059	Sáansamal ka bine'ex koonol tu k'íiwikil koonol	Todos los días ustedes van a vender al mercado	COMMC0001
YUAES0000060	Ma' jbinen tu k'íiwikil koonol bejla'e'	Hoy no fui al mercado	COMMC0001
YUAES0000061	Sáamale' je'el in bin tu k'íiwikil koonol	Mañana si iré al mercado	COMMC0001
YUAES0000062	Jo'oljeake' jbinen tu k'íiwikil koonol	Ayer fui al mercado	COMMC0001
YUAES0000063	Yaan wáaj a bin sáamal tu k'íiwikil koonol	¿Irás mañana al mercado?	COMMC0001
YUAES0000064	Kin konik ya'abach ba'alob tu k'íiwikil koonol	Vendo muchas cosas en el mercado	COMMC0001
YUAES0000065	Kin konik ja'as tu k'íiwikil koonol	Vendo platanos en el mercado	COMMC0001
YUAES0000066	Kin konik nikte'ob tu k'íiwikil koonol	Vendo flores en el mercado	COMMC0001
YUAES0000067	Kin konik janal tu k'íiwikil koonol	Vendo comida en el mercado	COMMC0001
YUAES0000068	Kin konik ch'ujuk pak'áal tu k'íiwikil koonol	Vendo naranja dulce en el mercado	COMMC0001
YUAES0000069	Kin konik suuts' pak'áal tu k'íiwikil koonol	Vendo naranaja agría en el mercado	COMMC0001
YUAES0000070	Kin konik ch'ujuko'ob tu k'íiwikil koonol	Vendo dulces en el mercado	COMMC0001
YUAES0000071	Jats'uts u k'íiwikil koonol	El mercado es bonito	COMMC0001
YUAES0000072	Nojoch le k'íiwikil koonolo'	El mercado es grande	COMMC0001
YUAES0000073	Chichan le k'íiwikil koonolo'	El mercado es pequeño	COMMC0001
YUAES0000074	Tene' ajkoonolen	Yo soy vendedor	COMMC0001
YUAES0000075	Tene' ixkoonolen	Yo soy vendedora	COMMC0001
YUAES0000076	Leti'e' ajkoonol	Él es vendedor	COMMC0001
YUAES0000077	Leti'e' ixkoonol	Ella es vendedora	COMMC0001
YUAES0000078	Teche' ajkoonolech	Tú eres vendedor	COMMC0001
YUAES0000079	Teche' ixkoonolech	Tu eres vendedora	COMMC0001
YUAES0000080	To'one' ajkoonolo'on	Nosotros somos vendedores	COMMC0001
YUAES0000081	To'one' ixkoonolo'on	Nosotras somos vendedoras	COMMC0001
YUAES0000082	Te'exe' ajkoonole'ex	Ustedes son vendedores	COMMC0001
YUAES0000083	Te'exe' ixkoonole'ex	Ustedes son vendedoras	COMMC0001
YUAES0000084	Ma' in k'áat bin koonoli'	No quiero ir a vender	COMMC0001
YUAES0000085	Jach ma'alob k'íiwikil koonol	Es muy buen mercado	COMMC0001
YUAES0000086	Jach ma' paatal k'íiwikil koonoli'	No es muy buen mercado	COMMC0001
YUAES0000087	Túumben le k'íiwikil koonolo'	El mercado es nuevo	COMMC0001
YUAES0000088	Jach úuchben le k'íiwikil koonolo'	El mercado es muy antiguo	COMMC0001
YUAES0000089	Le k'íiwikil koonolo' naats' k'íiwik yaanik	El mercado está cerca del centro	COMMC0001
YUAES0000090	Le k'íiwikil koonolo' jach náach ti' k'íiwik yaanik	El mercado está muy lejos del centro	COMMC0001
YUAES0000091	Naats' tin wotoch yaan le k'íiwikil koonolo'	El mercado está cerca de mi casa	COMMC0001
YUAES0000092	Náach tin wotoch yaan le k'íiwikil koonolo'	El mercado está lejos de mi casa	COMMC0001
YUAES0000093	Ka'abeje' yaan in bin tu k'íiwikil koonol	Pasado mañana iré al mercado	COMMC0001
YUAES0000094	Ka'abeje' yaan a bin koonol	Pasado mañana irás a vender	COMMC0001
YUAES0000095	Ka'abeje' yaan u bino'ob koonol	Pasado mañana irán a vender	COMMC0001
YUAES0000096	Ka'abeje' yaan a bine'ex koonol	Pasado mañana ustedes irán a vender	COMMC0001
YUAES0000097	U k'íiwikil koonol tin kaajale' jach nojoch	El mercado de mi pueblo es muy grande	COMMC0001
YUAES0000098	Ki'imak in wóol in bin tu k'íiwikil koonol	Soy feliz yendo al mercado	COMMC0001
YUAES0000099	Ki'imak a wóol a bin tu k'íiwikil koonol	Eres feliz yendo al mercado	COMMC0001
YUAES0000100	Ki'imak a wóol a bin tu k'íiwikil koonol	¿Eres feliz yendo al mercado?	COMMC0001
YUAES0000101	Ki'imak u yóolo'ob u bino'ob tu k'íiwikil koonol	Son felices yendo al mercado	COMMC0001
YUAES0000102	Jach k'a'abéet a bin tu k'íiwikil koonol	Es muy importante que vayas al mercado	COMMC0001
YUAES0000103	Jach k'a'abéet in bin tu k'íiwikil koonol	Es muy importante que yo vaya al mercado	COMMC0001
YUAES0000104	Ma' jach k'a'abéet in bin tu k'íiwikil koonoli'	No es muy importante que yo vaya al mercado	COMMC0001
YUAES0000105	Jach k'a'abéet u bin tu k'íiwikil koonol	Es muy importante que vaya al mercado	COMMC0001
YUAES0000106	Ma' jach k'a'abéet u bin k'íiwikil koonoli'	No es muy importante que ella vaya al mercado	COMMC0001
YUAES0000107	Jach k'a'abéet u bino'ob tu k'íiwikil koonol	Es muy importante que vayan al mercado	COMMC0001
YUAES0000108	Ma' jach k'a'abéet u bino'ob tu k'íiwikil koonoli'	No es muy importante que vayan al mercado	COMMC0001
YUAES0000109	Jach k'a'abéet a bine'ex tu k'íiwikil koonol	Es muy importante que ustedes vayan al mercado	COMMC0001
YUAES0000110	Ma' jach k'a'abéet a bine'ex k'íiwikil koonoli'	No es muy importante que ustedes vayan al mercado	COMMC0001
YUAES0000111	Jach wáaj k'a'abéet a bin k'íiwikil koonol	¿Es importante que vayas al mercado?	COMMC0001
YUAES0000112	Jach wáaj k'a'abéet in bin k'íiwikil koonol	¿Es muy importante que yo vaya al mercado?	COMMC0001
YUAES0000113	Ma' k'a'abéet wáaj in bin tu k'íiwikil koonoli'	¿No es muy importante que yo vaya al mercado?	COMMC0001
YUAES0000114	Jach k'a'abéet wáaj u bin tu k'íiwikil koonol	¿Es muy importante que él vaya al mercado?	COMMC0001
YUAES0000115	Jach k'a'abéet wáaj u bin tu k'íiwikil koonol	¿Es muy importante que ella vaya al mercado?	COMMC0001
YUAES0000116	Ma' jach k'a'abéet wáaj u bin tu k'íiwikil koonoli'	¿No es muy importante que vayan al mercado?	COMMC0001
YUAES0000117	Jach k'a'abéet wáaj u bino'ob tu k'íiwikil koonol	¿Es muy importante que ellos vayan al mercado?	COMMC0001
YUAES0000118	Ma' jach k'a'abéet wáaj u bino'ob tu k'íiwikil koonoli'	No es muy importante que ellos vayan al mercado	COMMC0001
YUAES0000119	Jach k'a'abéet wáaj a bine'ex tu k'íiwikil koonol	¿Es muy importante que ustedes vayan al mercado?	COMMC0001
YUAES0000120	Ma' jach k'a'abéet wáaj a bine'ex k'íiwikil koonoli'	¿No es muy importante que ustedes vayan al mercado?	COMMC0001
YUAES0000121	Tene' áak'ab kin bin tu k'íiwikil koonol	Yo voy al mercado por las noches	COMMC0001
YUAES0000122	Teche' áak'ab ka bin tu k'íiwikil koonol	Tu vas al mercado por las noches	COMMC0001
YUAES0000123	Leti'e' áak'ab ku bin tu k'íiwikil koonol	Él va al mercado por las noches	COMMC0001
YUAES0000124	Leti'e' áak'ab ku bin tu k'íiwikil koonol	Ella va al mercado por las noches	COMMC0001
YUAES0000125	To'one' áak'ab k bin tu k'íiwikil koonol	Nosotros vamos al mercado por la noche	COMMC0001
YUAES0000126	To'one' áak'ab k bin tu k'íiwikil koonol	Nosotras vamos al mercado por la noche	COMMC0001
YUAES0000127	Te'exe' áak'ab ka bine'ex tu k'íiwikil koonol	Ustedes van al mercado por la noche	COMMC0001
YUAES0000128	Tene' áak'ab kin bin tu k'íiwikil koonol	¿Yo voy al mercado por las noches?	COMMC0001
YUAES0000129	Teche' áak'ab ka bin tu k'íiwikil koonol	¿Tu vas al mercado por las noches?	COMMC0001
YUAES0000130	Leti'e' áak'ab ku bin tu k'íiwikil koonol	¿Él va al mercado por la noche ?	COMMC0001
YUAES0000131	Leti'e' áak'ab ku bin tu k'íiwikil koonol	¿Ella va al mercado por la noche?	COMMC0001
YUAES0000132	To'one' áak'ab k bin tu k'íiwikil koonol	¿Nosotros vamos al mercado por la noche?	COMMC0001
YUAES0000133	To'one' áak'ab k bin tu k'íiwikil koonol	¿Nosotras vamos al mercado por la noche?	COMMC0001
YUAES0000134	Te'exe' áak'ab ka bine'ex tu k'íiwikil koonol	¿Ustedes van al mercado por la noche?	COMMC0001
YUAES0000135	Tene' ma' áak'ab kin bin tu k'íiwikil koonoli'	¿Yo no voy al mercado por las noche?	COMMC0001
YUAES0000136	Teche' ma' áak'ab ka bin tu k'íiwikil koonoli'	¿Tú no vas al mercado por la noche?	COMMC0001
YUAES0000137	Leti'e' ma' áak'ab ku bin tu k'íiwikil koonoli'	¿Él no va al mercado por la noche?	COMMC0001
YUAES0000138	Leti'e' ma' áak'ab ku bin tu k'íiwikil koonoli'	¿Ella no va al mercado por la noche?	COMMC0001
YUAES0000139	To'one' ma' áak'ab k bin tu k'íiwikil koonoli'	¿Nosotros no vamos al mercado por la noche?	COMMC0001
YUAES0000140	To'one' ma' áak'ab k bin tu k'íiwikil koonoli'	¿Nosotras no vamos al mercado por la noche?	COMMC0001
YUAES0000141	Te'exe' ma' áak'ab ka bine'ex tu k'íiwikil koonoli'	¿Ustedes no van al mercado por la noche?	COMMC0001
YUAES0000142	Yaan nikte'ob tu k'íiwikil koonol	Hay flores en el mercado	COMMC0001
YUAES0000143	Yaan nal tu k'íiwikil koonol	Hay elotes en el mercado	COMMC0001
YUAES0000144	Yaan ya'abach paalalo'ob tu k'íiwikil koonol	Hay muchos niños en el mercado	COMMC0001
YUAES0000145	Yaan ya'abach mejen ch'úupalo'ob te' tu k'íiwikil koonolo'	Hay muchas niñas en el mercado	COMMC0001
YUAES0000146	Yaan ya'abach mejen xi'ipalalo'ob te' tu k'íiwikil koonolo'	Hay muchos niños en el mercado	COMMC0001
YUAES0000147	Jach jump'íit paalalo'ob yaan tu k'íiwikil koonol	Hay muy pocos niños en el mercado	COMMC0001
YUAES0000148	Jach jump'íit ch'úupalalo'ob yaan tu k'íiwikil koonol	Hay muy pocas muchachas en el mercado	COMMC0001
YUAES0000149	Jach jump'íit xi'ipalalo'ob yaan tu k'íiwikil koonol	Hay muy pocos muchachos en el mercado	COMMC0001
YUAES0000150	Yaan jump'éel k'íiwikil koonol tin kaajal	Hay un mercado en mi pueblo	COMMC0001
YUAES0000151	Yaan ka'ap'éel k'íiwikil koonol tin kaajal	Hay dos mercados en mi pueblo	COMMC0001
YUAES0000152	Yaan óoxp'éel k'íiwikil koonol tin kaajal	Hay tres mercados en mi pueblo	COMMC0001
YUAES0000153	Yaan kanp'éel k'íiwikil koonol tin kaajal	Hay cuatro mercados en mi pueblo	COMMC0001
YUAES0000154	Mina'an mix jump'éel k'íiwikil koonol tin kaajal	No hay ningun mercado en mi pueblo	COMMC0001
YUAES0000155	Ma' bona'an u k'íiwikil koonol tin kaajali'	El mercado de mi pueblo no está pintado	COMMC0001
YUAES0000156	U k'íiwikil koonol ta kaajale' jach chichan	El mercado de tu pueblo es muy pequeño	COMMC0001
YUAES0000157	U k'íiwikil koonol ta kaajale' jach nojoch	El mercado de tu pueblo es muy grande	COMMC0001
YUAES0000158	Ta'aytak in k'uchul tu k'íiwikil koonol	Ya casi llego al mercado	COMMC0001
YUAES0000159	Yaan in xáantal tu k'íiwikil koonol	Voy a tardar en el mercado	COMMC0001
YUAES0000160	Ja'atskab ka jk'uchen tu k'íiwikil koonol	En la mañana llegué al mercado	COMMC0001
YUAES0000161	Áak'ab ka jluk'en tu k'íiwikil koonol	En la noche me quite del mercado	COMMC0001
YUAES0000162	Ma' yanchaj koonol bejla'e'	Hoy no hubo venta	COMMC0001
YUAES0000163	Ma' j-úuch koonol bejla'e'	Hoy no hubo venta	COMMC0001
YUAES0000164	Ma'atáan u yantal koonol sáamal	Mañana no habrá venta	COMMC0001
YUAES0000165	Ma'atáan u yúuchul koonol sáamal	Mañana no habrá venta	COMMC0001
YUAES0000166	Ma'atáan u yantal koonol ka'abej	Pasado mañana no habrá venta	COMMC0001
YUAES0000167	Yaan wáaj koonol bejla'e'	¿Habrá venta hoy?	COMMC0001
YUAES0000168	Yaan wáaj koonol sáamal	¿Habrá venta mañana?	COMMC0001
YUAES0000169	Ba'ax k'iin u yantal koonol	¿Qué día habrá venta?	COMMC0001
YUAES0000170	Ba'ax k'iin u yúuchul koonol	¿Qué día habrá venta?	COMMC0001
YUAES0000171	Ma'atáan in ka' bin koonol	No volveré a ir a vender	COMMC0001
YUAES0000172	Ma'atáan in ka'atéen bin koonol	No volveré a ir a vender	COMMC0001
YUAES0000173	Jbino'ob jo'oljeak tu k'íiwikil koonol	Ellos fueron ayer al mercado	COMMC0001
YUAES0000174	Jbine'ex jo'oljeak tu k'íiwikil koonol	Ustedes fueron ayer al mercado	COMMC0001
YUAES0000175	Jlúuben bejla'e' tu k'íiwikil koonol	Me caí en el mercado	COMMC0001
YUAES0000176	Jlúuben jo'oljeak tu k'íiwikil koonol	Me caí ayer en el mercado	COMMC0001
YUAES0000177	Jach nojoch u k'íiwikil koonol ta kaajal	El mercado de tu pueblo es muy grande	COMMC0001
YUAES0000178	Jach chichan u k'íiwikil koonol ta kajal	El mercado de tu pueblo es muy pequeño	COMMC0001
YUAES0000179	Kin wilikech tu k'íiwikil koonol	Te veo en el mercado	COMMC0001
YUAES0000180	Ka wiliken tu k'íiwikil koonol	Me ves en el mercado	COMMC0001
YUAES0000181	Kak ilikabáaj tu k'íiwikil koonol	Nos vemos en el mercado	COMMC0001
YUAES0000182	Ma' tin wilike'ex tu k'íiwikil koonol	No les veo en el mercado	COMMC0001
YUAES0000183	Ma' tin wilikech tu k'íiwikil koonol	No te veo en el mercado	COMMC0001
YUAES0000184	Ma' táan in wilikech tu k'íiwikil koonol	No te veo en el mercado	COMMC0001
YUAES0000185	Ma' ta wiliken tu k'íiwikil koonol	No me ves en el mercado	COMMC0001
YUAES0000186	Ma' táan a wiliken tu k'íiwikil koonol	No me ves en el mercado	COMMC0001
YUAES0000187	Ma' tin wiliko'ob tu k'íiwikil koonol	No los veo en el mercado	COMMC0001
YUAES0000188	Ma' táan in wiliko'ob tu k'íiwikil koonol	No los veo en el mercado	COMMC0001
YUAES0000189	Ma' táan in wilike'ex tu k'íiwikil koonol	No les veo en el mercado	COMMC0001
YUAES0000190	Ka wiliken tu k'íiwikil koonol	¿Me ves en el mercado?	COMMC0001
YUAES0000191	Kin wiliko'ob tu k'íiwikil koonol	¿Los veré en el mercado?	COMMC0001
YUAES0000192	Kin wilike'ex tu k'íiwikil koonol	¿Les veré en el mercado?	COMMC0001
YUAES0000193	Ma' tin wilikech tu k'íiwikil koonol	¿No te veo en el mercado?	COMMC0001
YUAES0000194	Ma' táan in wilikech tu k'íiwikil koonol	¿No te veo en el mercado?	COMMC0001
YUAES0000195	Ma' ta wiliken tu k'íiwikil koonol	¿No me ves en el mercado?	COMMC0001
YUAES0000196	Ma' táan a wiliken tu k'íiwikil koonol	¿No me ves en el mercado?	COMMC0001
YUAES0000197	Ma' tin wiliko'ob tu k'íiwikil koonol	¿No los veré en el mercado?	COMMC0001
YUAES0000198	Ma' táan in wiliko'ob tu k'íiwikil koonol	¿No los veré en el mercado?	COMMC0001
YUAES0000199	Ma' tin wilike'ex tu k'íiwikil koonol	¿No les veré en el mercado?	COMMC0001
YUAES0000200	Ma' táan in wilike'ex tu k'íiwikil koonol	¿No les veré en el mercado?	COMMC0001
YUAES0000201	Ku yilikubáajo'ob tu k'íiwikil koonol	Se ven en el mercado	COMMC0001
YUAES0000202	Ma' tu yilikubáajo'ob tu k'íiwikil koonol	No se ven en el mercado	COMMC0001
YUAES0000203	Jats'uts in wilik in bin tu k'íiwikil koonol	Me gusta ir al mercado	COMMC0001
YUAES0000204	Jach jats'uts in wilik in bin tu k'íiwikil koonol	Me gusta mucho ir al mercado	COMMC0001
YUAES0000205	In p'eek in bin tu k'íiwikil koonol	Me molesta ir al mercado	COMMC0001
YUAES0000206	Janalnajen tu k'íiwikil koonol	Comí en el mercado	COMMC0001
YUAES0000207	Janalnajo'on tu k'íiwikil koonol	Comimos en el mercado	COMMC0001
YUAES0000208	Janalnaje'ex tu k'íiwikil koonol	Ustedes comieron en el mercado	COMMC0001
YUAES0000209	J-Jaanech tu k'íiwikil koonol	Comiste en el mercado	COMMC0001
YUAES0000210	Ma'alob k'a'amiken tu k'íiwikil koonol	Me recibieron bien en el mercado	COMMC0001
YUAES0000211	Ma' ma'alob k'a'amiken k'íiwikil koonoli'	No me recibieron bien en el mercado	COMMC0001
YUAES0000212	Jbinen yéetel in éetailo'ob tu k'íiwikil koonol	Fui con mis amigos al mercado	COMMC0001
YUAES0000213	Jbinech yéetel a éetailo'ob tu k'íiwikil koonol	Fuiste con tus amigos al mercado	COMMC0001
YUAES0000214	Leti'obe' jbino'ob yéetel u éetailo'ob tu k'íiwikil koonol	Ellos fueron con sus amigos al mercado	COMMC0001
YUAES0000215	Te'exe' jbine'ex yéetel a éetailo'ob tu k'íiwikil koonol	Ustedes fueron con sus amigos al mercado	COMMC0001
YUAES0000216	Ba'ax k'iin a bin tu k'íiwikil koonol	¿Qué día irás al mercado?	COMMC0001
YUAES0000217	Ba'ax k'iin u bin tu k'íiwikil koonol	¿Que día irá él al mercado?	COMMC0001
YUAES0000218	Ba'ax k'iin a bine'ex k'íiwikil koonol	¿Que día irán ustedes al mercado?	COMMC0001
YUAES0000219	Ba'ax k'iin u bino'ob k'íiwikil koonol	¿Qué día irán ellos al mercado?	COMMC0001
YUAES0000220	Jaypéel k'iino'ob ka bin tu k'íiwikil koonol	¿Cuántos dias vas al mercado?	COMMC0001
YUAES0000221	Jayp'éel k'iino'ob ku bin tu k'íiwikil koonol	¿Cuántos días va él al mercado?	COMMC0001
YUAES0000222	jayp'éel k'iino'ob ku bino'ob tu k'íiwikil koonol	¿Cuántos dias van ellos al mercado?	COMMC0001
YUAES0000223	Jayp'éel k'iino'ob ka bine'ex tu k'íiwikil koonol	¿Cuántos dias van ustedes al mercado?	COMMC0001
YUAES0000224	Ma'táan wáaj a bin tu k'íiwikil koonol	¿No irás al mercado?	COMMC0001
YUAES0000225	Ma'táan wáaj a bin tu k'íiwikil koonol	¿No irá él al mercado?	COMMC0001
YUAES0000226	Ma'táan wáaj a bine'ex tu k'íiwikil koonol	¿No irán ustedes al mercado?	COMMC0001
YUAES0000227	Ma'táan wáaj u bino'ob tu k'íiwikil koonol	¿No irán ellos al mercado?	COMMC0001
YUAES0000228	Xeen tu k'íiwikil koonol	Vete al mercado	COMMC0001
YUAES0000229	Xeene'ex tu k'íiwikil koonol	Vayanse al mercado	COMMC0001
YUAES0000230	Lep' a wóol, ka xi'ikech k'íiwikil koonol	Apresúrate para que vayas al mercado	COMMC0001
YUAES0000231	Sáansamal kin bin tu k'íiwikil koonol	Todos los dias voy al mercado	COMMC0001
YUAES0000232	Sáansamal ka bin tu k'íiwikil koonol	Todos los dias vas al mercado	COMMC0001
YUAES0000233	Sáansamal ku bin tu k'íiwikil koonol	Todos los dias va al mercado	COMMC0001
YUAES0000234	Sáansamal ku bino'ob tu k'íiwikil koonol	Todos los dias van al mercado	COMMC0001
YUAES0000235	Sáansamal ka bine'ex tu k'íiwikil koonol	Todos los dias ustedes van al mercado	COMMC0001
YUAES0000236	Jweenen tu k'íiwikil koonol	Me dormí en el mercado	COMMC0001
YUAES0000237	Jweenech tu k'íiwikil koonol	Te dormiste en el mercado	COMMC0001
YUAES0000238	Jweeno'ob tu k'íiwikil koonol	Ellos se durmieron en el mercado	COMMC0001
YUAES0000239	Jweene'ex tu k'íiwikil koonol	Ustedes se durmieron en el mercado	COMMC0001
YUAES0000240	Ook'in in bin tu k'íiwikil koonol	En la noche voy al mercado	COMMC0001
YUAES0000241	Ook'in a bin tu k'íiwikil koonol	En la noche vas al mercado	COMMC0001
YUAES0000242	Ook'in u bino'ob k'íiwikil koonol	En la noche ellos van al mercado	COMMC0001
YUAES0000243	Ook'in a bine'ex k'íiwikil koonol	En la noche ustedes van al mercado	COMMC0001
YUAES0000244	Le k'íiwikil koonol yaan tin kaajalo' úuchben	El mercado de mi pueblo es antiguo	COMMC0001
YUAES0000245	Le k'íiwikil koonol yaan tin kaajalo' túumben	El mercado de mi pueblo es nuevo	COMMC0001
YUAES0000246	Le k'íiwikil koonol yaan tin kaajalo' nojoch	El mercado de mi pueblo es grande	COMMC0001
YUAES0000247	Le k'íiwikil koonol yaan tin kaajalo' chichan	El mercado de mi pueblo es pequeño	COMMC0001
YUAES0000248	Ko'one'ex tu k'íiwikil koonol	Vámonos al mercado	COMMC0001
YUAES0000249	Ko'ox tu k'íiwikil koonol	Vamos al mercado	COMMC0001
YUAES0000250	Naats' wáaj yaan u k'íiwikil koonol	¿El mercado está cerca?	COMMC0001
YUAES0000251	Náach wáaj yaan u k'íiwikil koonol	¿El mercado está lejos?	COMMC0001
YUAES0000252	Táan in bin koonol merkaado	Estoy yendo a vender al mercado	COMMC0001
